,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,barra da estiva,6,BR,1627363929,69,-11.0894,-43.1417,68.41,6.29
1,zaraza,98,VE,1627363929,98,9.3503,-65.3245,71.65,2.35
2,cherskiy,12,RU,1627363930,58,68.75,161.3,47.71,22.7
3,arraial do cabo,0,BR,1627363930,50,-22.8362,-46.646,64.92,6.49
4,ponta do sol,98,PT,1627363930,86,38.7333,-28.2667,65.98,11.56
5,del rio,0,IR,1627363931,32,38.7941,45.0665,77.9,3.76
6,karatau,0,KZ,1627363931,26,43.1667,70.4667,85.69,16.96
7,mataura,32,NZ,1627363931,91,-46.1927,168.8643,41.95,2.33
8,punta arenas,100,PH,1627363931,61,8.9897,125.34,88.61,8.88
9,nalagarh,100,IN,1627363932,81,31.05,76.7167,82.15,2.37
10,georgetown,20,MY,1627363816,69,5.4112,100.3354,90.9,1.01
11,busselton,95,AU,1627363864,59,-33.65,115.3333,56.08,22.66
12,provideniya,90,RU,1627363932,87,64.3833,-173.3,48.31,6.71
13,khatanga,91,RU,1627363932,42,71.9667,102.5,83.44,16.37
14,castro,37,BR,1627363933,63,-24.7911,-50.0119,57.02,5.82
15,hasaki,21,JP,1627363933,75,35.7333,140.8333,82.8,22.35
16,ahipara,5,NZ,1627363933,73,-35.1667,173.1667,55.42,13.6
17,carnarvon,11,AU,1627363934,60,-24.8667,113.6333,73.47,11.5
18,hithadhoo,99,MV,1627363934,76,-0.6,73.0833,81.28,7.7
19,rikitea,99,PF,1627363934,78,-23.1203,-134.9692,74.91,17.25
20,atuona,51,PF,1627363934,73,-9.8,-139.0333,77.76,19.8
21,ushuaia,75,AR,1627363700,86,-54.8,-68.3,33.46,1.14
22,grand river south east,37,US,1627363935,38,38.8755,-109.5012,78.94,2.17
23,hilo,90,US,1627363879,91,19.7297,-155.09,74.93,10.36
24,bluff,32,NZ,1627363935,78,-46.6,168.3333,48.49,11.32
25,belaya gora,86,UA,1627363935,77,49.029,25.7706,72.99,7.72
26,butaritari,26,KI,1627363936,77,3.0707,172.7902,81.0,3.83
27,san jose,99,ML,1627363871,75,13.3034,-4.8956,76.35,8.03
28,ojinaga,1,MX,1627363936,27,29.5667,-104.4167,88.75,14.97
29,maceio,75,BR,1627363699,100,-9.6658,-35.7353,71.04,3.44
30,rockhampton,75,AU,1627363808,43,-23.3833,150.5,75.09,9.22
31,severo-kurilsk,89,RU,1627363937,92,50.6789,156.125,61.34,10.78
32,yellowknife,75,CA,1627363937,71,62.456,-114.3525,56.32,3.0
33,mgandu,5,TZ,1627363937,50,-5.95,34.1333,58.86,11.16
34,beloha,32,MG,1627363937,61,-25.1667,45.05,65.8,17.11
35,yerbogachen,3,RU,1627363938,30,61.2767,108.0108,89.08,9.31
36,nome,90,US,1627363938,93,64.5011,-165.4064,50.07,11.5
37,esperance,62,AU,1627363938,64,-33.8667,121.9,58.84,33.93
38,rio gallegos,0,GR,1627363938,45,38.3,21.7833,85.59,8.39
39,gueret,100,FR,1627363939,91,46.1667,1.8667,57.83,2.46
40,sitka,75,US,1627363939,67,57.0531,-135.33,62.49,0.0
41,pringsewu,12,ID,1627363939,41,-5.3582,104.9744,89.44,5.7
